sample,original
SST1,Norm_Area_241018_IP_HAM-CSF_RP-pos_1_SSTraw_(F2)
"blank_start1	",Norm_Area_241018_IP_HAM-CSF_RP-pos_2_Blank-startraw_(F3)
"blank_start2	",Norm_Area_241018_IP_HAM-CSF_RP-pos_3_Blank-startraw_(F4)
conditioning1,Norm_Area_241018_IP_HAM-CSF_RP-pos_5_QC-conditioningraw_(F5)
conditioning2,Norm_Area_241018_IP_HAM-CSF_RP-pos_6_QC-conditioningraw_(F6)
QC1,Norm_Area_241018_IP_HAM-CSF_RP-pos_18_QCraw_(F16)
QC2,Norm_Area_241018_IP_HAM-CSF_RP-pos_36_QCraw_(F33)
QC3,Norm_Area_241018_IP_HAM-CSF_RP-pos_54_QCraw_(F50)
QC4,Norm_Area_241018_IP_HAM-CSF_RP-pos_67_QCraw_(F63)
QC5,Norm_Area_241018_IP_HAM-CSF_RP-pos_84_QCraw_(F80)
QC6,Norm_Area_241018_IP_HAM-CSF_RP-pos_117_QCraw_(F113)
QC7,Norm_Area_241018_IP_HAM-CSF_RP-pos_134_QCraw_(F130)
QC8,Norm_Area_241018_IP_HAM-CSF_RP-pos_160_QCraw_(F156)
QC9,Norm_Area_241018_IP_HAM-CSF_RP-pos_161_QCraw_(F157)
blank_end,Norm_Area_241018_IP_HAM-CSF_RP-pos_162_blank-endraw_(F158)
SST2,Norm_Area_241018_IP_HAM-CSF_RP-pos_163_SSTraw_(F160)
H089-01,Norm_Area_241018_IP_HAM-CSF_RP-pos_96_H089-1raw_(F92)
H089-02,Norm_Area_241018_IP_HAM-CSF_RP-pos_104_H089-2raw_(F100)
H089-03,Norm_Area_241018_IP_HAM-CSF_RP-pos_112_H089-3raw_(F108)
H089-04,Norm_Area_241018_IP_HAM-CSF_RP-pos_121_H089-4raw_(F117)
H089-05,Norm_Area_241018_IP_HAM-CSF_RP-pos_129_H089-5raw_(F125)
H089-06,Norm_Area_241018_IP_HAM-CSF_RP-pos_138_H089-6raw_(F134)
H089-07,Norm_Area_241018_IP_HAM-CSF_RP-pos_146_H089-7raw_(F142)
H089-08,Norm_Area_241018_IP_HAM-CSF_RP-pos_154_H089-8raw_(F150)
H089-09,Norm_Area_241018_IP_HAM-CSF_RP-pos_63_H089-9raw_(F59)
H089-10,Norm_Area_241018_IP_HAM-CSF_RP-pos_72_H089-10raw_(F68)
H089-11,Norm_Area_241018_IP_HAM-CSF_RP-pos_80_H089-11raw_(F76)
H089-12,Norm_Area_241018_IP_HAM-CSF_RP-pos_89_H089-12raw_(F85)
H089-13,Norm_Area_241018_IP_HAM-CSF_RP-pos_97_H089-13raw_(F93)
H089-14,Norm_Area_241018_IP_HAM-CSF_RP-pos_105_H089-14raw_(F101)
H089-15,Norm_Area_241018_IP_HAM-CSF_RP-pos_113_H089-15raw_(F109)
H089-16,Norm_Area_241018_IP_HAM-CSF_RP-pos_122_H089-16raw_(F118)
H089-17,Norm_Area_241018_IP_HAM-CSF_RP-pos_130_H089-17raw_(F126)
H089-18,Norm_Area_241018_IP_HAM-CSF_RP-pos_139_H089-18raw_(F135)
H089-19,Norm_Area_241018_IP_HAM-CSF_RP-pos_147_H089-19raw_(F143)
H089-20,Norm_Area_241018_IP_HAM-CSF_RP-pos_155_H089-20raw_(F151)
H089-21,Norm_Area_241018_IP_HAM-CSF_RP-pos_64_H089-21raw_(F60)
H089-22,Norm_Area_241018_IP_HAM-CSF_RP-pos_73_H089-22raw_(F69)
H089-23,Norm_Area_241018_IP_HAM-CSF_RP-pos_81_H089-23raw_(F77)
H089-24,Norm_Area_241018_IP_HAM-CSF_RP-pos_90_H089-24raw_(F86)
H089-25,Norm_Area_241018_IP_HAM-CSF_RP-pos_98_H089-25raw_(F94)
H089-26,Norm_Area_241018_IP_HAM-CSF_RP-pos_106_H089-26raw_(F102)
H089-27,Norm_Area_241018_IP_HAM-CSF_RP-pos_114_H089-27raw_(F110)
H089-28,Norm_Area_241018_IP_HAM-CSF_RP-pos_123_H089-28raw_(F119)
H089-29,Norm_Area_241018_IP_HAM-CSF_RP-pos_131_H089-29raw_(F127)
H089-30,Norm_Area_241018_IP_HAM-CSF_RP-pos_140_H089-30raw_(F136)
H089-31,Norm_Area_241018_IP_HAM-CSF_RP-pos_148_H089-31raw_(F144)
H089-32,Norm_Area_241018_IP_HAM-CSF_RP-pos_156_H089-32raw_(F152)
H089-33,Norm_Area_241018_IP_HAM-CSF_RP-pos_65_H089-33raw_(F61)
H089-34,Norm_Area_241018_IP_HAM-CSF_RP-pos_74_H089-34raw_(F70)
H089-35,Norm_Area_241018_IP_HAM-CSF_RP-pos_82_H089-35raw_(F78)
H089-36,Norm_Area_241018_IP_HAM-CSF_RP-pos_91_H089-36raw_(F87)
H089-37,Norm_Area_241018_IP_HAM-CSF_RP-pos_99_H089-37raw_(F95)
H089-38,Norm_Area_241018_IP_HAM-CSF_RP-pos_107_H089-38raw_(F103)
H089-39,Norm_Area_241018_IP_HAM-CSF_RP-pos_115_H089-39raw_(F111)
H089-40,Norm_Area_241018_IP_HAM-CSF_RP-pos_124_H089-40raw_(F120)
H089-41,Norm_Area_241018_IP_HAM-CSF_RP-pos_132_H089-41raw_(F128)
H089-42,Norm_Area_241018_IP_HAM-CSF_RP-pos_141_H089-42raw_(F137)
H089-43,Norm_Area_241018_IP_HAM-CSF_RP-pos_149_H089-43raw_(F145)
H089-44,Norm_Area_241018_IP_HAM-CSF_RP-pos_157_H089-44raw_(F153)
H089-45,Norm_Area_241018_IP_HAM-CSF_RP-pos_66_H089-45raw_(F62)
H089-46,Norm_Area_241018_IP_HAM-CSF_RP-pos_75_H089-46raw_(F71)
H089-47,Norm_Area_241018_IP_HAM-CSF_RP-pos_83_H089-47raw_(F79)
H089-48,Norm_Area_241018_IP_HAM-CSF_RP-pos_92_H089-48raw_(F88)
H089-49,Norm_Area_241018_IP_HAM-CSF_RP-pos_100_H089-49raw_(F96)
H089-50,Norm_Area_241018_IP_HAM-CSF_RP-pos_108_H089-50raw_(F104)
H089-51,Norm_Area_241018_IP_HAM-CSF_RP-pos_116_H089-51raw_(F112)
H089-52,Norm_Area_241018_IP_HAM-CSF_RP-pos_125_H089-52raw_(F121)
