date,time,datetime,Tb,ID,Sample_nr
28/05/2023,14:00:59,28/05/2023 14:00,35.43,H089,
28/05/2023,14:16:00,28/05/2023 14:16,35.99,H089,
28/05/2023,14:31:00,28/05/2023 14:31,36.37,H089,
28/05/2023,14:46:01,28/05/2023 14:46,34.23,H089,
28/05/2023,15:01:01,28/05/2023 15:01,35.84,H089,
28/05/2023,15:16:02,28/05/2023 15:16,34.47,H089,
28/05/2023,15:31:02,28/05/2023 15:31,34.68,H089,
28/05/2023,15:46:03,28/05/2023 15:46,34.63,H089,
28/05/2023,16:01:03,28/05/2023 16:01,34.76,H089,
28/05/2023,16:16:04,28/05/2023 16:16,34.23,H089,
28/05/2023,16:31:04,28/05/2023 16:31,35.45,H089,
28/05/2023,16:46:05,28/05/2023 16:46,35.26,H089,
28/05/2023,17:01:05,28/05/2023 17:01,34.3,H089,
28/05/2023,17:16:06,28/05/2023 17:16,33.79,H089,
28/05/2023,17:31:06,28/05/2023 17:31,34.31,H089,
28/05/2023,17:46:06,28/05/2023 17:46,35.82,H089,
28/05/2023,18:01:07,28/05/2023 18:01,35.35,H089,
28/05/2023,18:16:07,28/05/2023 18:16,35.09,H089,
28/05/2023,18:31:08,28/05/2023 18:31,34.77,H089,
28/05/2023,18:46:08,28/05/2023 18:46,34.15,H089,
28/05/2023,19:01:09,28/05/2023 19:01,35.26,H089,
28/05/2023,19:16:09,28/05/2023 19:16,35.39,H089,
28/05/2023,19:31:10,28/05/2023 19:31,35.26,H089,
28/05/2023,19:46:10,28/05/2023 19:46,34.49,H089,
28/05/2023,20:01:11,28/05/2023 20:01,34.01,H089,
28/05/2023,20:16:11,28/05/2023 20:16,33.12,H089,
28/05/2023,20:31:12,28/05/2023 20:31,32.11,H089,
28/05/2023,20:46:12,28/05/2023 20:46,31.35,H089,
28/05/2023,21:01:13,28/05/2023 21:01,30.5,H089,
28/05/2023,21:16:13,28/05/2023 21:16,29.73,H089,
28/05/2023,21:31:14,28/05/2023 21:31,28.6,H089,
28/05/2023,21:46:14,28/05/2023 21:46,27.89,H089,
28/05/2023,22:01:14,28/05/2023 22:01,26.96,H089,
28/05/2023,22:16:15,28/05/2023 22:16,26.56,H089,
28/05/2023,22:31:15,28/05/2023 22:31,25.5,H089,
28/05/2023,22:46:16,28/05/2023 22:46,24.45,H089,
28/05/2023,23:01:16,28/05/2023 23:01,23.32,H089,
28/05/2023,23:16:17,28/05/2023 23:16,22.71,H089,
28/05/2023,23:31:17,28/05/2023 23:31,22.38,H089,
28/05/2023,23:46:18,28/05/2023 23:46,22.41,H089,
29/05/2023,00:01:18,29/05/2023 00:01,21.7,H089,
29/05/2023,00:16:19,29/05/2023 00:16,20.35,H089,
29/05/2023,00:31:19,29/05/2023 00:31,19.25,H089,
29/05/2023,00:46:20,29/05/2023 00:46,18.3,H089,
29/05/2023,01:01:20,29/05/2023 01:01,17.45,H089,
29/05/2023,01:16:21,29/05/2023 01:16,16.63,H089,
29/05/2023,01:31:21,29/05/2023 01:31,15.92,H089,
29/05/2023,01:46:22,29/05/2023 01:46,15.28,H089,
29/05/2023,02:01:22,29/05/2023 02:01,14.67,H089,
29/05/2023,02:16:23,29/05/2023 02:16,14.09,H089,
29/05/2023,02:31:23,29/05/2023 02:31,13.56,H089,
29/05/2023,02:46:23,29/05/2023 02:46,13.07,H089,
29/05/2023,03:01:24,29/05/2023 03:01,12.65,H089,
29/05/2023,03:16:24,29/05/2023 03:16,12.26,H089,
29/05/2023,03:31:25,29/05/2023 03:31,11.94,H089,
29/05/2023,03:46:25,29/05/2023 03:46,11.64,H089,
29/05/2023,04:01:26,29/05/2023 04:01,11.34,H089,
29/05/2023,04:16:26,29/05/2023 04:16,11.1,H089,
29/05/2023,04:31:27,29/05/2023 04:31,10.9,H089,
29/05/2023,04:46:27,29/05/2023 04:46,10.73,H089,
29/05/2023,05:01:28,29/05/2023 05:01,10.57,H089,
29/05/2023,05:16:28,29/05/2023 05:16,10.44,H089,
29/05/2023,05:31:29,29/05/2023 05:31,10.37,H089,
29/05/2023,05:46:29,29/05/2023 05:46,10.34,H089,
