"sample_nr","tb_mean","variable","value"
1,35.2,"Dl-Glutamine",0.610011345300507
2,34.7,"Dl-Glutamine",0.579182101336622
3,35,"Dl-Glutamine",0.637799093706218
4,30.9,"Dl-Glutamine",0.748748348960311
5,24.3,"Dl-Glutamine",0.986974958205393
6,18.1,"Dl-Glutamine",0.387278445004852
7,13,"Dl-Glutamine",0.282619698491537
8,10.7,"Dl-Glutamine",-0.089735052893371
9,10,"Dl-Glutamine",-0.572269459997159
10,9.3,"Dl-Glutamine",-0.562344775548179
11,8.9,"Dl-Glutamine",-0.710787187237969
12,8.8,"Dl-Glutamine",-0.719529580104523
13,8.7,"Dl-Glutamine",-0.756193310027774
14,8.7,"Dl-Glutamine",-0.79882781324039
15,8.6,"Dl-Glutamine",-0.706133510897136
16,8.6,"Dl-Glutamine",-0.617152120665766
17,8.8,"Dl-Glutamine",-0.588104292722322
18,9,"Dl-Glutamine",-0.582763413106896
19,9.2,"Dl-Glutamine",-0.596976766315431
20,9.4,"Dl-Glutamine",-0.538533268671261
21,9.7,"Dl-Glutamine",-0.697952461023876
22,10,"Dl-Glutamine",-0.643138430782806
23,10,"Dl-Glutamine",-0.791409887140725
24,9.9,"Dl-Glutamine",-0.850527939638574
25,9.9,"Dl-Glutamine",-0.794463745544208
26,10.1,"Dl-Glutamine",-0.749378003979236
27,10.5,"Dl-Glutamine",-0.594574000881739
28,11.6,"Dl-Glutamine",-0.53728619896012
29,30.9,"Dl-Glutamine",1.16988381862
30,34.4,"Dl-Glutamine",1.39054659140881
31,34.9,"Dl-Glutamine",1.3656185163424
32,34.5,"Dl-Glutamine",0.915534953135213
33,34.2,"Dl-Glutamine",0.457795110331194
34,34.5,"Dl-Glutamine",0.849653862426281
35,33.9,"Dl-Glutamine",0.666803202794697
36,34.1,"Dl-Glutamine",0.393130154289311
37,34.1,"Dl-Glutamine",0.955079165059649
38,34.4,"Dl-Glutamine",1.72301218403307
39,33.9,"Dl-Glutamine",1.9248190344639
40,33.7,"Dl-Glutamine",2.19669013356444
41,33.5,"Dl-Glutamine",1.59168208308153
42,33.5,"Dl-Glutamine",2.13798188416413
43,34.1,"Dl-Glutamine",2.28705394205597
44,33.9,"Dl-Glutamine",2.45836255249858
45,32.3,"Dl-Glutamine",1.73706217510532
46,28.6,"Dl-Glutamine",1.62460200112018
47,22.5,"Dl-Glutamine",1.27515775115776
48,15.6,"Dl-Glutamine",0.854447717152788
49,12.8,"Dl-Glutamine",0.888915240232234
50,12.3,"Dl-Glutamine",0.113953909137931
51,11.5,"Dl-Glutamine",0.102692127665673
52,11.2,"Dl-Glutamine",0.00125817382939444
53,10.8,"Dl-Glutamine",-0.231514636422477
54,10.4,"Dl-Glutamine",0.000300482649327471
55,10.2,"Dl-Glutamine",-0.16333529251096
56,10,"Dl-Glutamine",-0.201102737238467
57,9.7,"Dl-Glutamine",-0.81740583851897
58,9.3,"Dl-Glutamine",-0.827366359471463
59,9.1,"Dl-Glutamine",-0.812024035913443
60,8.9,"Dl-Glutamine",-0.852555681631696
61,8.6,"Dl-Glutamine",-1.00201855944267
62,8.5,"Dl-Glutamine",-0.931448456415542
63,8.3,"Dl-Glutamine",-0.931763043702693
64,8.1,"Dl-Glutamine",-0.994976920209948
65,7.9,"Dl-Glutamine",-0.984752271132721
66,7.7,"Dl-Glutamine",-1.13421346071341
67,7.6,"Dl-Glutamine",-1.17420902277804
68,7.5,"Dl-Glutamine",-1.09799916168841
69,7.5,"Dl-Glutamine",-1.23605319035021
70,7.5,"Dl-Glutamine",-1.25868161942372
71,7.5,"Dl-Glutamine",-1.16978767158348
