"sample_nr","tb_mean","variable","value"
1,35.2,"Bendiocarb",-0.923007905992532
2,34.7,"Bendiocarb",-0.773039999937053
3,35,"Bendiocarb",-0.908148260639906
4,30.9,"Bendiocarb",-0.893470751450945
5,24.3,"Bendiocarb",-0.882036679446625
6,18.1,"Bendiocarb",-0.848366004445856
7,13,"Bendiocarb",0.41393286089406
8,10.7,"Bendiocarb",-0.0591608034990973
9,10,"Bendiocarb",-0.107869434107264
10,9.3,"Bendiocarb",0.468662291081414
11,8.9,"Bendiocarb",0.519286989817544
12,8.8,"Bendiocarb",0.508302065186559
13,8.7,"Bendiocarb",0.174237083701786
14,8.7,"Bendiocarb",0.736224252448111
15,8.6,"Bendiocarb",0.340557923876258
16,8.6,"Bendiocarb",0.879263176838097
17,8.8,"Bendiocarb",0.501963563873651
18,9,"Bendiocarb",1.87944225538674
19,9.2,"Bendiocarb",0.972952226548281
20,9.4,"Bendiocarb",1.75143969266773
21,9.7,"Bendiocarb",0.672725536783279
22,10,"Bendiocarb",1.3212023482803
23,10,"Bendiocarb",1.32740775686184
24,9.9,"Bendiocarb",0.548105530084634
25,9.9,"Bendiocarb",1.67772463927625
26,10.1,"Bendiocarb",1.03279067004638
27,10.5,"Bendiocarb",0.550131985487455
28,11.6,"Bendiocarb",1.44874689425629
29,30.9,"Bendiocarb",-0.875054174386174
30,34.4,"Bendiocarb",-0.863927527015699
31,34.9,"Bendiocarb",-0.854535155350543
32,34.5,"Bendiocarb",0.73939733900213
33,34.2,"Bendiocarb",-0.958087331595968
34,34.5,"Bendiocarb",-0.946473270254587
35,33.9,"Bendiocarb",-0.933279640001315
36,34.1,"Bendiocarb",-0.862010730801754
37,34.1,"Bendiocarb",-0.921720927735726
38,34.4,"Bendiocarb",-0.906839159206959
39,33.9,"Bendiocarb",-0.904717639557608
40,33.7,"Bendiocarb",-0.708821960018766
41,33.5,"Bendiocarb",-0.653913267761805
42,33.5,"Bendiocarb",-0.732957343569716
43,34.1,"Bendiocarb",-0.861121972938493
44,33.9,"Bendiocarb",-0.832709509932194
45,32.3,"Bendiocarb",-0.957709777148948
46,28.6,"Bendiocarb",-0.946593643747588
47,22.5,"Bendiocarb",-0.896129456389867
48,15.6,"Bendiocarb",-0.922134045124215
49,12.8,"Bendiocarb",-0.912140795854303
50,12.3,"Bendiocarb",-0.888931737703786
51,11.5,"Bendiocarb",-0.902041266318863
52,11.2,"Bendiocarb",-0.885779933116917
53,10.8,"Bendiocarb",0.497659456595416
54,10.4,"Bendiocarb",-0.563890512331732
55,10.2,"Bendiocarb",1.14982599532489
56,10,"Bendiocarb",1.49180672402893
57,9.7,"Bendiocarb",1.33042527097543
58,9.3,"Bendiocarb",1.27742102124534
59,9.1,"Bendiocarb",1.4617519436292
60,8.9,"Bendiocarb",0.719032919725737
61,8.6,"Bendiocarb",1.13218598624716
62,8.5,"Bendiocarb",1.35466018034106
63,8.3,"Bendiocarb",1.06882999763758
64,8.1,"Bendiocarb",0.0185178113797184
65,7.9,"Bendiocarb",1.61742406906826
66,7.7,"Bendiocarb",1.51010544851479
67,7.6,"Bendiocarb",2.13355845778813
68,7.5,"Bendiocarb",1.20667779542616
69,7.5,"Bendiocarb",0.888852412519097
70,7.5,"Bendiocarb",0.689371753405703
71,7.5,"Bendiocarb",0.440735241512252
72,7.7,"Bendiocarb",0.698266214835611
73,7.9,"Bendiocarb",-0.854677405637894
74,8,"Bendiocarb",1.17566697180654
75,8,"Bendiocarb",0.850910242206297
76,7.8,"Bendiocarb",0.383592220529899
77,7.7,"Bendiocarb",2.99638305737723
78,7.6,"Bendiocarb",0.964473567554385
79,7.6,"Bendiocarb",1.39199547559921
80,7.6,"Bendiocarb",1.30166801111368
81,7.6,"Bendiocarb",0.400548867435219
82,15,"Bendiocarb",0.904320463554059
83,34.3,"Bendiocarb",-0.102651134843232
84,34.4,"Bendiocarb",-0.984989412752636
85,34.4,"Bendiocarb",-0.984194618799714
86,34.4,"Bendiocarb",-0.979421313843454
87,34.7,"Bendiocarb",-0.975086343375664
88,34.3,"Bendiocarb",-0.958083141531796
89,34.5,"Bendiocarb",-0.969578329207458
90,34.3,"Bendiocarb",-0.965037091995392
91,34.7,"Bendiocarb",-0.962171841791624
92,34.7,"Bendiocarb",-0.958103760389702
93,33.8,"Bendiocarb",-0.996074459409991
94,33.4,"Bendiocarb",-0.997051308495357
95,33.5,"Bendiocarb",-0.986243506418974
96,33.3,"Bendiocarb",-0.984880224213298
97,35,"Bendiocarb",-0.984365659167017
98,35.7,"Bendiocarb",-0.97568951372802
99,34.7,"Bendiocarb",-0.977719656222712
100,34.2,"Bendiocarb",-0.953080041063016
1,35.2,"Piracetam",1.53233546155918
2,34.7,"Piracetam",1.08032856958449
3,35,"Piracetam",0.380255334595408
4,30.9,"Piracetam",0.604093544422425
5,24.3,"Piracetam",0.203640419697653
6,18.1,"Piracetam",-0.00398891554840232
7,13,"Piracetam",-0.471014522371979
8,10.7,"Piracetam",-0.475734054177281
9,10,"Piracetam",-0.211873565328105
10,9.3,"Piracetam",-0.350939038188172
11,8.9,"Piracetam",-0.176853909734063
12,8.8,"Piracetam",-0.286327016861166
13,8.7,"Piracetam",-0.380414926185894
14,8.7,"Piracetam",-0.414979781030605
15,8.6,"Piracetam",-0.43491653463835
16,8.6,"Piracetam",-0.450460458408298
17,8.8,"Piracetam",-0.459049606678025
18,9,"Piracetam",-0.465950287803295
19,9.2,"Piracetam",-0.471583510917387
20,9.4,"Piracetam",-0.476347302071533
21,9.7,"Piracetam",-0.40701130132826
22,10,"Piracetam",-0.334566459971484
23,10,"Piracetam",-0.153127264632734
24,9.9,"Piracetam",-0.307723840064524
25,9.9,"Piracetam",-0.37859078016996
26,10.1,"Piracetam",-0.41893832212636
27,10.5,"Piracetam",-0.435701009058025
28,11.6,"Piracetam",-0.450889726068454
29,30.9,"Piracetam",0.157372593115205
30,34.4,"Piracetam",0.0533705004534814
31,34.9,"Piracetam",0.109697708977331
32,34.5,"Piracetam",0.880571438889958
33,34.2,"Piracetam",1.03842081677259
34,34.5,"Piracetam",1.70394027383967
35,33.9,"Piracetam",5.58493840696609
36,34.1,"Piracetam",1.86206732570976
37,34.1,"Piracetam",0.801735108735324
38,34.4,"Piracetam",0.0571357562594422
39,33.9,"Piracetam",-0.0546480431506125
40,33.7,"Piracetam",-0.181798489387661
41,33.5,"Piracetam",-0.255397315206021
42,33.5,"Piracetam",-0.285534332938352
43,34.1,"Piracetam",-0.19788984619649
44,33.9,"Piracetam",-0.237818687127262
45,32.3,"Piracetam",-0.0446361951808408
46,28.6,"Piracetam",0.76767154048512
47,22.5,"Piracetam",7.26879843107381
48,15.6,"Piracetam",0.822207335862485
49,12.8,"Piracetam",0.965491438380486
50,12.3,"Piracetam",0.350146509765445
51,11.5,"Piracetam",0.104697228400441
52,11.2,"Piracetam",-0.200528309215392
53,10.8,"Piracetam",-0.456726862457337
54,10.4,"Piracetam",-0.25862981931003
55,10.2,"Piracetam",-0.38067840885813
56,10,"Piracetam",-0.456572100147319
57,9.7,"Piracetam",-0.43803083925626
58,9.3,"Piracetam",-0.438242975497773
59,9.1,"Piracetam",-0.470792531615406
60,8.9,"Piracetam",-0.433113288348832
61,8.6,"Piracetam",-0.465488022599282
62,8.5,"Piracetam",-0.428128982029132
63,8.3,"Piracetam",-0.356788392329456
64,8.1,"Piracetam",-0.452735797647872
65,7.9,"Piracetam",-0.447942755883027
66,7.7,"Piracetam",-0.426703118940934
67,7.6,"Piracetam",-0.363070304535453
68,7.5,"Piracetam",-0.430025085701184
69,7.5,"Piracetam",-0.470432483233284
70,7.5,"Piracetam",-0.443699049825159
71,7.5,"Piracetam",-0.470166769815274
72,7.7,"Piracetam",-0.466383958581974
73,7.9,"Piracetam",-0.464035257905099
74,8,"Piracetam",-0.460673302858889
75,8,"Piracetam",-0.300286228090556
76,7.8,"Piracetam",-0.433258863982144
77,7.7,"Piracetam",-0.446223335927048
78,7.6,"Piracetam",-0.441596934401202
79,7.6,"Piracetam",-0.325289336766449
80,7.6,"Piracetam",-0.428395649480994
81,7.6,"Piracetam",-0.355595494920453
82,15,"Piracetam",0.386405313265684
83,34.3,"Piracetam",-0.0929489061395754
84,34.4,"Piracetam",-0.132623086483523
85,34.4,"Piracetam",-0.193032619110654
86,34.4,"Piracetam",-0.164674577881794
87,34.7,"Piracetam",-0.145111554271901
88,34.3,"Piracetam",-0.188568593678339
89,34.5,"Piracetam",0.119301775002943
90,34.3,"Piracetam",-0.00324477622064116
91,34.7,"Piracetam",0.186338904227812
92,34.7,"Piracetam",0.262382751978317
93,33.8,"Piracetam",-0.474995555928969
94,33.4,"Piracetam",0.084749807763408
95,33.5,"Piracetam",0.141545110219922
96,33.3,"Piracetam",0.208117533641868
97,35,"Piracetam",0.00906933586835034
98,35.7,"Piracetam",0.115806412080622
99,34.7,"Piracetam",-0.0818463369299299
100,34.2,"Piracetam",-0.363330364991415
1,35.2,"Pirbuterol",-0.328673922973573
2,34.7,"Pirbuterol",0.630050398576506
3,35,"Pirbuterol",-0.0435837017760552
4,30.9,"Pirbuterol",0.476142381852457
5,24.3,"Pirbuterol",-0.224364533822551
6,18.1,"Pirbuterol",0.378081696408869
7,13,"Pirbuterol",-0.214060066021022
8,10.7,"Pirbuterol",-0.0846928550795475
9,10,"Pirbuterol",-1.23628272196074
10,9.3,"Pirbuterol",-1.25100186136972
11,8.9,"Pirbuterol",-1.00996753082267
12,8.8,"Pirbuterol",-0.952587382101491
13,8.7,"Pirbuterol",-0.498951439061971
14,8.7,"Pirbuterol",-0.93457484748916
15,8.6,"Pirbuterol",-0.649117969316259
16,8.6,"Pirbuterol",-0.894162999022843
17,8.8,"Pirbuterol",-0.93698752945695
18,9,"Pirbuterol",-0.530737580433242
19,9.2,"Pirbuterol",-0.361937394103084
20,9.4,"Pirbuterol",-0.109395430363878
21,9.7,"Pirbuterol",-1.19740838353446
22,10,"Pirbuterol",-1.12870739911213
23,10,"Pirbuterol",-0.726064746215297
24,9.9,"Pirbuterol",-0.822383890576897
25,9.9,"Pirbuterol",-1.08186408026495
26,10.1,"Pirbuterol",-1.28619708275304
27,10.5,"Pirbuterol",-1.14869113158012
28,11.6,"Pirbuterol",-1.00616435850791
29,30.9,"Pirbuterol",0.172573078112362
30,34.4,"Pirbuterol",0.246304481761356
31,34.9,"Pirbuterol",1.92034802564896
32,34.5,"Pirbuterol",0.994748525699803
33,34.2,"Pirbuterol",-0.022146217210572
34,34.5,"Pirbuterol",-0.153760053469353
35,33.9,"Pirbuterol",-0.0736388514361244
36,34.1,"Pirbuterol",0.11258593002983
37,34.1,"Pirbuterol",1.37579842112555
38,34.4,"Pirbuterol",0.438169440535813
