"","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant","Phase_deg","Phase_rad","Timing","Amplitude"
"1","N-Acetyl-L-Glutamic Acid",0.92335713532733,0.858105518238662,0.796200733937675,0,-0.24239573968463,0.24410909145542,TRUE,0,0,"Synchronous",1.69111215407379
"2","198.12567/4.402",0.875593549379995,0.811554965739944,0.717691627270163,0,-0.240759104055571,0.241498009456867,TRUE,0,0,"Synchronous",1.52243216874229
"3","Dl-Ala-Dl-Leu",0.868359217898189,0.815219689474822,0.753067631042931,0,-0.237068689574734,0.241897101794586,TRUE,0,0,"Synchronous",2.1831112893933
"4","Cytosine",0.867361304960555,0.804245438931424,0.728547261495637,0,-0.241463379972077,0.246817956607429,TRUE,0,0,"Synchronous",2.17473003036901
"5","182.10559/1.858",0.867009685236637,0.80269384863681,0.72089398730818,0,-0.230082482901877,0.237746989598558,TRUE,0,0,"Synchronous",2.14394523409079
"6","Dl-Glutamine",0.866968784066208,0.818594932971242,0.766530212512499,0,-0.250061484882105,0.24605901919521,TRUE,0,0,"Synchronous",1.88364651037062
"7","Coumarin",0.864434243114035,0.80703473708438,0.749578081559146,0,-0.242470817337322,0.24542410529269,TRUE,0,0,"Synchronous",1.95705893384647
"8","Thiomorpholine-3-Carboxylic Acid",0.860196450504811,0.80039623271261,0.731823692691709,0,-0.231373242669419,0.23602251790971,TRUE,0,0,"Synchronous",1.6859461750642
"9","Creatinine",0.859251563049674,0.79484331706552,0.717393883894169,0,-0.24483966329745,0.247104490384946,TRUE,0,0,"Synchronous",1.93633348016725
"10","3-Carboxyindole",0.857009082329419,0.800702904255807,0.721877429186129,0,-0.236493662218635,0.238529225919633,TRUE,0,0,"Synchronous",1.825746570243
"11","3-Acetyl-2,5-Dimethylfuran",0.844168935779264,0.782837274030276,0.714998801184542,0,-0.236497454878703,0.239830943227443,TRUE,0,0,"Synchronous",2.04834988632149
"12","Paracetamol Sulfate",0.837710434142723,0.782563219409917,0.714639642211263,0,-0.238995533170636,0.248653181457371,TRUE,0,0,"Synchronous",1.98749518471142
"13","Pilocarpine",0.83706096498325,0.783419561107707,0.722300891485552,0,-0.244284440166089,0.245824036602663,TRUE,0,0,"Synchronous",1.89531621943449
"14","253.1791/4.779",0.835667596154971,0.783656204014797,0.726267842862017,0,-0.238611321061302,0.240845589618758,TRUE,0,0,"Synchronous",1.8393125884775
"15","119.07355/1.616",0.818294370979306,0.755402753825464,0.697296833852131,0,-0.246368131643616,0.250394387058479,TRUE,0,0,"Synchronous",2.08448997878029
"16","Phenylalanine",0.815631067123807,0.752753956301109,0.695978349315221,0,-0.246936394398575,0.248816525019262,TRUE,0,0,"Synchronous",2.14524200791835
"17","102.04701/1.615",0.813811489381825,0.751299209638898,0.693048441358723,0,-0.246541123993078,0.248237403634681,TRUE,0,0,"Synchronous",2.12639155818777
"18","93.99346/0.963",0.80729279622111,0.752003618735532,0.675188010509856,0,-0.237302910927501,0.23714739823853,TRUE,0,0,"Synchronous",1.70350181450707
"19","Phenyl Sulfoxide",0.805996875868258,0.742733169533725,0.683609533582317,0,-0.246605517933786,0.25035002014501,TRUE,0,0,"Synchronous",2.00905984933336
"20","306.24074/6.98",0.805200879015319,0.738804186845629,0.686488034076274,0,-0.230768427608166,0.232323627090637,TRUE,0,0,"Synchronous",2.15030329170376
"21","Phenylethyl Alcohol",0.80393740242578,0.738925944542766,0.660592357223099,0,-0.228909419949019,0.231767667861202,TRUE,0,0,"Synchronous",2.00196025557321
"22","298.11661/4.32",0.80288734724298,0.736565663222491,0.648690131291675,0,-0.226271803422625,0.226508609132158,TRUE,0,0,"Synchronous",2.13760909086105
"23","Tyrosine",0.79052618977919,0.747342938850241,0.68448185243448,0,-0.241932329899737,0.240862738630317,TRUE,0,0,"Synchronous",2.30421726017718
"24","Acetanilide",0.777794305182118,0.73651333514779,0.69125981258599,0,-0.235604440762642,0.242141585235466,TRUE,0,0,"Synchronous",2.39298635279003
"25","Pyridoxal",0.775229118786284,0.733913177147894,0.667834994092418,0,-0.239078014840004,0.237387239850142,TRUE,0,0,"Synchronous",1.86392811459692
"26","271.17845/6.301",0.771712623260627,0.725082515823679,0.669353096832006,0,-0.239710498905983,0.234657734413821,TRUE,0,0,"Synchronous",1.87874674061741
"27","262.11817/5.207",0.767542438227504,0.715693212359574,0.658806213243984,0,-0.240282658369245,0.246234982690199,TRUE,0,0,"Synchronous",2.18452495728545
"28","369.2518/12.877",0.763805741520041,0.705576885462877,0.650729324061073,0,-0.234446422612926,0.23097043527677,TRUE,0,0,"Synchronous",1.72566658584903
"29","Creatine",0.762516272071722,0.703617354548675,0.631344533286215,0,-0.24437432892358,0.249866120828045,TRUE,0,0,"Synchronous",2.19520458645834
"30","343.17456/3.315",0.760468121593858,0.697343504283365,0.61434610781168,0,-0.230799649323614,0.232428412618987,TRUE,0,0,"Synchronous",2.34772308950486
"31","H-Met(O)-Oh",0.759707645257273,0.721771450432305,0.661925619485741,0,-0.227521722622276,0.233144217633411,TRUE,0,0,"Synchronous",1.90919137531105
"32","Carboxyibuprofen",0.759627621549458,0.696045420331105,0.62662688573626,0,-0.228790143658362,0.227112163564781,TRUE,0,0,"Synchronous",1.99230650777255
"33","Dl-Carnitine",0.752038232594453,0.710738345613926,0.660405358859892,0,-0.247012905388215,0.244808468272902,TRUE,0,0,"Synchronous",1.56983369680357
"34","3,5-Di-Tert-Butyl-4-Hydroxybenzaldehyde",0.746199541080137,0.68827909221504,0.615246530207745,0,-0.239558962672155,0.239900907607959,TRUE,0,0,"Synchronous",2.0012592805709
"35","Np-020214",0.742978427262478,0.67322308962696,0.615746483799044,0,-0.228509937514719,0.227794266339795,TRUE,0,0,"Synchronous",2.34401697325627
"36","234.18319/5.271",0.735860712148977,0.672564346249278,0.613507728505968,0,-0.225045728341971,0.227949423738329,TRUE,0,0,"Synchronous",2.26867527701171
"37","231.18348/4.514",0.732862055598932,0.673034185801047,0.619946303196544,0,-0.222559334394875,0.238098457442248,TRUE,0,0,"Synchronous",2.40555712049553
"38","366.14305/7.896",0.73255316119023,0.671354777305964,0.611833041641325,0,-0.220525779541708,0.223689432590043,TRUE,0,0,"Synchronous",2.24088244944857
"39","213.17293/4.514",0.731467994712355,0.67498346412849,0.626313975190691,0,-0.224074939391153,0.241589135978659,TRUE,0,0,"Synchronous",2.46405385887526
"40","254.16313/5.419",0.726950982301801,0.68414486411128,0.643444781331873,0,-0.238283320706806,0.242743732015844,TRUE,0,0,"Synchronous",1.99691437568902
"41","()-(Î)-Kainic A",0.723636849027429,0.654866268825857,0.570242910431352,0,-0.220562263871567,0.232752781594133,TRUE,0,0,"Synchronous",2.55299840336421
"42","305.25669/11.937",0.719630861559907,0.650232380094822,0.591509921392661,0,-0.225621671002302,0.228264012304923,TRUE,0,0,"Synchronous",2.34263355415256
"43","222.07935/8.032",0.719625146535117,0.659861038030349,0.589287750340605,0,-0.222542986903987,0.227270169421543,TRUE,0,0,"Synchronous",2.18921959377733
"44","210.08686/3.606",0.715580709682537,0.666724209760034,0.606774865504468,0,-0.243209988279128,0.246342968259224,TRUE,0,0,"Synchronous",2.7669306333818
"45","370.17439/6.038",0.714952445642642,0.64807685150847,0.560129996845704,0,-0.218255209616478,0.221571659002594,TRUE,0,0,"Synchronous",2.44805671044813
"46","Rhizocticin B",0.714692213078025,0.647173077160626,0.560706517348615,0,-0.21660507181102,0.221685721461623,TRUE,0,0,"Synchronous",2.27250615192002
