"","colnames(df_sel)"
"1","species"
"2","tags"
"3","CalcMW"
"4","RTmin"
"5","Norm_Area_241018_a_HAM-CSF_RP-pos_10_H089-57raw_(F1)"
"6","Norm_Area_241018_IP_HAM-CSF_RP-pos_1_SSTraw_(F2)"
"7","Norm_Area_241018_IP_HAM-CSF_RP-pos_2_Blank-startraw_(F3)"
"8","Norm_Area_241018_IP_HAM-CSF_RP-pos_3_Blank-startraw_(F4)"
"9","Norm_Area_241018_IP_HAM-CSF_RP-pos_5_QC-conditioningraw_(F5)"
"10","Norm_Area_241018_IP_HAM-CSF_RP-pos_6_QC-conditioningraw_(F6)"
"11","Norm_Area_241018_IP_HAM-CSF_RP-pos_11_H089-69raw_(F9)"
"12","Norm_Area_241018_IP_HAM-CSF_RP-pos_12_H089-81raw_(F10)"
"13","Norm_Area_241018_IP_HAM-CSF_RP-pos_13_H090-93raw_(F11)"
"14","Norm_Area_241018_IP_HAM-CSF_RP-pos_14_H089-58raw_(F12)"
"15","Norm_Area_241018_IP_HAM-CSF_RP-pos_15_H089-70raw_(F13)"
"16","Norm_Area_241018_IP_HAM-CSF_RP-pos_16_H089-82raw_(F14)"
"17","Norm_Area_241018_IP_HAM-CSF_RP-pos_17_H090-94raw_(F15)"
"18","Norm_Area_241018_IP_HAM-CSF_RP-pos_18_QCraw_(F16)"
"19","Norm_Area_241018_IP_HAM-CSF_RP-pos_19_H089-59raw_(F17)"
"20","Norm_Area_241018_IP_HAM-CSF_RP-pos_20_H089-71raw_(F18)"
"21","Norm_Area_241018_IP_HAM-CSF_RP-pos_21_H089-83raw_(F19)"
"22","Norm_Area_241018_IP_HAM-CSF_RP-pos_22_H090-95raw_(F20)"
"23","Norm_Area_241018_IP_HAM-CSF_RP-pos_23_H089-60raw_(F21)"
"24","Norm_Area_241018_IP_HAM-CSF_RP-pos_24_H089-72raw_(F22)"
"25","Norm_Area_241018_IP_HAM-CSF_RP-pos_25_H089-84raw_(F23)"
"26","Norm_Area_241018_IP_HAM-CSF_RP-pos_26_H090-96raw_(F24)"
"27","Norm_Area_241018_IP_HAM-CSF_RP-pos_28_H089-61raw_(F25)"
"28","Norm_Area_241018_IP_HAM-CSF_RP-pos_29_H089-73raw_(F26)"
"29","Norm_Area_241018_IP_HAM-CSF_RP-pos_30_H089-85raw_(F27)"
"30","Norm_Area_241018_IP_HAM-CSF_RP-pos_31_H090-97raw_(F28)"
"31","Norm_Area_241018_IP_HAM-CSF_RP-pos_32_H089-62raw_(F29)"
"32","Norm_Area_241018_IP_HAM-CSF_RP-pos_33_H089-74raw_(F30)"
"33","Norm_Area_241018_IP_HAM-CSF_RP-pos_34_H089-86raw_(F31)"
"34","Norm_Area_241018_IP_HAM-CSF_RP-pos_35_H090-98raw_(F32)"
"35","Norm_Area_241018_IP_HAM-CSF_RP-pos_36_QCraw_(F33)"
"36","Norm_Area_241018_IP_HAM-CSF_RP-pos_37_H089-63raw_(F34)"
"37","Norm_Area_241018_IP_HAM-CSF_RP-pos_38_H089-75raw_(F35)"
"38","Norm_Area_241018_IP_HAM-CSF_RP-pos_39_H089-87raw_(F36)"
"39","Norm_Area_241018_IP_HAM-CSF_RP-pos_40_H090-99raw_(F37)"
"40","Norm_Area_241018_IP_HAM-CSF_RP-pos_41_H089-64raw_(F38)"
"41","Norm_Area_241018_IP_HAM-CSF_RP-pos_42_H089-76raw_(F39)"
"42","Norm_Area_241018_IP_HAM-CSF_RP-pos_43_H089-88raw_(F40)"
"43","Norm_Area_241018_IP_HAM-CSF_RP-pos_44_H090-100raw_(F41)"
