"","Metabolite","Max_Correlation","mean_top5","min_top5","Lag","ci_lower","ci_upper","significant"
"1","Dl-Glutamine",0.873837399401839,0.835054210421716,0.779705656837933,0,-0.277866570525084,0.2731210318872,TRUE
"2","Phenylalanine",0.869923610550816,0.819894451085946,0.767782079551725,0,-0.27455833243178,0.274167380626446,TRUE
"3","119.07355/1.616",0.868548982258049,0.820109599149141,0.770530900626675,0,-0.277243836713251,0.27404286160516,TRUE
"4","Paracetamol Sulfate",0.866045838161612,0.814552610152949,0.753008750292116,0,-0.279230081944811,0.279316640203367,TRUE
"5","102.04701/1.615",0.865811731159787,0.816703513818433,0.769797456488347,0,-0.276133325615374,0.275791287409398,TRUE
"6","Phenyl Sulfoxide",0.859532861315968,0.807762222781873,0.762989936508594,0,-0.277816606655933,0.272134782660055,TRUE
"7","Cytosine",0.858998617132316,0.811498715125762,0.745772377626776,0,-0.282686024334225,0.274288612406194,TRUE
"8","253.1791/4.779",0.854820707561285,0.799777680092937,0.727261754281941,0,-0.279958888437985,0.276257920252577,TRUE
"9","Methdilazine",0.848094122397321,0.828526897483489,0.793387002715627,24,-0.276852906084015,0.278494090185736,TRUE
"10","Coumarin",0.840438133808138,0.788612274058483,0.732746623384926,0,-0.279497413142406,0.275850355656046,TRUE
"11","Creatine",0.839867873162667,0.782797072351083,0.707048097106105,0,-0.27913768480243,0.274884996813547,TRUE
"12","3-Carboxyindole",0.830425557422392,0.798731730716247,0.763256253661568,0,-0.275571894121068,0.276516513307604,TRUE
"13","Bendiocarb",0.824246778396589,0.801067933064571,0.771287967660542,25,-0.279832419441079,0.280171969678289,TRUE
"14","Creatinine",0.818065908274759,0.778351223954197,0.732455551912302,0,-0.273905419773569,0.276097256780115,TRUE
"15","N-Acetyl-L-Glutamic Acid",0.812249249690953,0.767779089441021,0.727321474216496,0,-0.278209260134372,0.27526459247064,TRUE
"16","()-(Î)-Kainic A",0.812219726095048,0.794121454628298,0.761282032267899,1,-0.268462470906242,0.27202010044435,TRUE
"17","274.15295/10.902",0.812208785534601,0.793014535581086,0.771773147368661,25,-0.277528736008677,0.278396485578821,TRUE
"18","298.11661/4.32",0.806528635005332,0.77770380746112,0.739861400763396,0,-0.271094949554966,0.275766235722251,TRUE
"19","93.99346/0.963",0.806222495079868,0.763063079641273,0.719455382442344,0,-0.277636029932203,0.27557784709216,TRUE
"20","Methylenediurea",0.806098974944409,0.785455469008154,0.758307078478742,24,-0.279514497767704,0.28170472207042,TRUE
"21","Pilocarpine",0.805808305768947,0.78344175655775,0.759776951670246,0,-0.274769774810195,0.276516135359119,TRUE
"22","306.24074/6.98",0.804511713143455,0.777254862554368,0.735025826556496,0,-0.270156298631364,0.273998915717291,TRUE
"23","210.08686/3.606",0.801186193168812,0.756040817272655,0.713494457765239,0,-0.277384341160208,0.276424555385979,TRUE
"24","198.12567/4.402",0.799985644441505,0.753750400824704,0.702352484637773,0,-0.278160026362305,0.273248021731719,TRUE
"25","Dl-Ala-Dl-Leu",0.796209918694122,0.750768586709128,0.709865503724296,0,-0.281555296683024,0.276125307583458,TRUE
"26","Phenylethyl Alcohol",0.792236102406733,0.745453639663651,0.694932915348185,0,-0.274535393715995,0.274941459714724,TRUE
"27","254.16313/5.419",0.791809907608539,0.740966551204174,0.674887632103207,0,-0.281320927632211,0.274401686418877,TRUE
"28","Dl-Carnitine",0.790639372599414,0.742593541061583,0.676306589530604,0,-0.282531689933944,0.274720634689101,TRUE
"29","369.2518/12.877",0.789816996721208,0.746578890304609,0.681364402822338,0,-0.274548997909643,0.279921313755561,TRUE
"30","197.14167/2.44",0.788280779851233,0.772009720761593,0.75378876053438,24,-0.280921093023596,0.280074275390651,TRUE
"31","Lys-Leu",0.786567576152447,0.768337072704128,0.74697424822485,25,-0.280125357355211,0.278755281676255,TRUE
"32","3,5-Di-Tert-Butyl-4-Hydroxybenzaldehyde",0.784630626219239,0.73440288507592,0.664230978082462,0,-0.276705982274912,0.274330644487307,TRUE
"33","262.11817/5.207",0.777811509448131,0.745996581725012,0.69748401725655,0,-0.274422950419638,0.273656235991278,TRUE
"34","299.22101/7.53",0.774582033371673,0.727764910503399,0.683593267365502,0,-0.279552936569766,0.281354515506443,TRUE
