"sample_nr","tb_mean","variable","value"
1,35.2,"Dodecanedioic Acid",0.479924311392503
2,34.7,"Dodecanedioic Acid",0.582784979745451
3,35,"Dodecanedioic Acid",0.254347141616398
4,30.9,"Dodecanedioic Acid",0.566472089042003
5,24.3,"Dodecanedioic Acid",0.526306659064848
6,18.1,"Dodecanedioic Acid",0.395326597899347
7,13,"Dodecanedioic Acid",0.162632150683232
8,10.7,"Dodecanedioic Acid",-1.47551580135697
9,10,"Dodecanedioic Acid",-0.0996434745994693
10,9.3,"Dodecanedioic Acid",-0.193155346982712
11,8.9,"Dodecanedioic Acid",-0.0542337091427888
12,8.8,"Dodecanedioic Acid",0.00824428637063151
13,8.7,"Dodecanedioic Acid",-0.0262703314185814
14,8.7,"Dodecanedioic Acid",-0.372190956266053
15,8.6,"Dodecanedioic Acid",0.235770958541532
16,8.6,"Dodecanedioic Acid",0.0107906362927287
17,8.8,"Dodecanedioic Acid",0.0515584664163442
18,9,"Dodecanedioic Acid",0.181877825496271
19,9.2,"Dodecanedioic Acid",-0.224557415712649
20,9.4,"Dodecanedioic Acid",0.334780210013899
21,9.7,"Dodecanedioic Acid",0.0663032975544295
22,10,"Dodecanedioic Acid",-0.0603879500194749
23,10,"Dodecanedioic Acid",0.0838683911052756
24,9.9,"Dodecanedioic Acid",0.0140299296217695
25,9.9,"Dodecanedioic Acid",-0.0666265449858166
26,10.1,"Dodecanedioic Acid",0.101730459768576
27,10.5,"Dodecanedioic Acid",0.0278850483138781
28,11.6,"Dodecanedioic Acid",0.184532322002828
29,30.9,"Dodecanedioic Acid",0.416582203436982
30,34.4,"Dodecanedioic Acid",0.839963465743449
31,34.9,"Dodecanedioic Acid",0.666139443651299
32,34.5,"Dodecanedioic Acid",0.668130936448629
33,34.2,"Dodecanedioic Acid",0.549885954857617
34,34.5,"Dodecanedioic Acid",0.186773264228137
35,33.9,"Dodecanedioic Acid",0.443374940116898
36,34.1,"Dodecanedioic Acid",0.448036737536547
37,34.1,"Dodecanedioic Acid",0.761688321008027
38,34.4,"Dodecanedioic Acid",0.514108095929325
39,33.9,"Dodecanedioic Acid",0.693792105445434
40,33.7,"Dodecanedioic Acid",0.886493593423783
41,33.5,"Dodecanedioic Acid",0.747762364008991
42,33.5,"Dodecanedioic Acid",0.671491467825466
43,34.1,"Dodecanedioic Acid",1.13645326658589
44,33.9,"Dodecanedioic Acid",1.02987247806034
45,32.3,"Dodecanedioic Acid",0.719688042535256
46,28.6,"Dodecanedioic Acid",0.339228804735817
47,22.5,"Dodecanedioic Acid",0.256190881167831
48,15.6,"Dodecanedioic Acid",0.148917198864892
49,12.8,"Dodecanedioic Acid",0.158019079924128
50,12.3,"Dodecanedioic Acid",0.354540132984547
51,11.5,"Dodecanedioic Acid",0.118797821947904
52,11.2,"Dodecanedioic Acid",0.23271236993576
53,10.8,"Dodecanedioic Acid",0.565911196234471
54,10.4,"Dodecanedioic Acid",0.0368703785539076
55,10.2,"Dodecanedioic Acid",0.442553826330647
56,10,"Dodecanedioic Acid",0.261197126138063
57,9.7,"Dodecanedioic Acid",0.397744785374584
58,9.3,"Dodecanedioic Acid",0.0277655324631186
59,9.1,"Dodecanedioic Acid",0.152101450019172
60,8.9,"Dodecanedioic Acid",0.1237623919038
61,8.6,"Dodecanedioic Acid",0.0408334022741612
62,8.5,"Dodecanedioic Acid",0.0999624414859736
63,8.3,"Dodecanedioic Acid",0.298584201430902
64,8.1,"Dodecanedioic Acid",-0.889004586743616
65,7.9,"Dodecanedioic Acid",0.0636151242896721
66,7.7,"Dodecanedioic Acid",-0.135973359612818
67,7.6,"Dodecanedioic Acid",0.216913132103783
68,7.5,"Dodecanedioic Acid",-0.0614503662293389
69,7.5,"Dodecanedioic Acid",0.144802844610339
70,7.5,"Dodecanedioic Acid",0.379828473314828
71,7.5,"Dodecanedioic Acid",0.370285687746903
72,7.7,"Dodecanedioic Acid",-0.330093746699074
73,7.9,"Dodecanedioic Acid",0.334113078967208
74,8,"Dodecanedioic Acid",0.137250865364046
75,8,"Dodecanedioic Acid",-0.381983202992495
76,7.8,"Dodecanedioic Acid",-0.80364910227466
77,7.7,"Dodecanedioic Acid",0.113611666142809
78,7.6,"Dodecanedioic Acid",0.273149735541514
79,7.6,"Dodecanedioic Acid",0.212718902312931
80,7.6,"Dodecanedioic Acid",0.146963652956716
81,7.6,"Dodecanedioic Acid",0.120209114103319
82,15,"Dodecanedioic Acid",0.812874289762895
83,34.3,"Dodecanedioic Acid",1.23289764990857
84,34.4,"Dodecanedioic Acid",0.872719148016063
85,34.4,"Dodecanedioic Acid",0.846714139215276
86,34.4,"Dodecanedioic Acid",0.768302937564679
87,34.7,"Dodecanedioic Acid",0.679450992616296
88,34.3,"Dodecanedioic Acid",-1.02633197640607
89,34.5,"Dodecanedioic Acid",0.689007034408986
90,34.3,"Dodecanedioic Acid",0.625302373551955
91,34.7,"Dodecanedioic Acid",0.640859927983644
92,34.7,"Dodecanedioic Acid",0.485568702191978
93,33.8,"Dodecanedioic Acid",0.417619476265607
94,33.4,"Dodecanedioic Acid",0.566766781559402
95,33.5,"Dodecanedioic Acid",0.549430300136475
96,33.3,"Dodecanedioic Acid",0.458919374817607
97,35,"Dodecanedioic Acid",0.746490747113597
98,35.7,"Dodecanedioic Acid",0.66318005222464
99,34.7,"Dodecanedioic Acid",0.503908758810607
100,34.2,"Dodecanedioic Acid",-0.56867485610099
1,35.2,"Tiglylcarnitine",0.522207726669987
2,34.7,"Tiglylcarnitine",0.710438004869099
3,35,"Tiglylcarnitine",0.774758540576873
